Crop Type,Group,AZ,WA,UT,,Index,
Alfalfa,Alfalfa,"D,F,S",,"D,F,S",None,1,
Alfalfa Hay,Alfalfa,,,,,1,
Alfalfa/Barley Mix,Alfalfa,F,,,,1,
Alfalfa/Grass,Alfalfa,F,,,,1,
Alfalfa/Grass Hay,Alfalfa,,,,,1,
New Alfalfa,Alfalfa,,,,,1,
Alfalfa Seed,Alfalfa,,,,,1,
ALFALFA,Alfalfa,,,,,1,
NEW_ALFALFA,Alfalfa,,,,,1,
Barley,Cereals,"D,F,S",,"F,S",None,2,
Barley/Wheat,Cereals,"D,F,S",,,,2,
Buckwheat,Cereals,,,,,2,
Cereal Grain,Cereals,,"D,F,S",,,2,
"Cereal Grain, Unknown",Cereals,,,,,2,
Corn,Cereals,"D,F,S",,"D,F,S",,2,
Corn Grain,Cereals,,,,,2,
Corn Silage,Cereals,,,,,2,
"Corn, Field",Cereals,,,,,2,
"Corn, Sweet",Cereals,,,,,2,
"Corn, Unknown",Cereals,,,,,2,
Double crop barley/corn,Cereals,,,,,2,
Double crop winter wheat/corn,Cereals,,,,,2,
Durum Wheat,Cereals,F,,S,,2,
Field Corn,Cereals,,,,,2,
Grain/Seeds unspecified,Cereals,,,"F,S",,2,
Oat,Cereals,,,,,2,
Oats,Cereals,"D,F,S",,"F,S",,2,
Quinoa,Cereals,,,,,2,
Rye,Cereals,,,"F,S",,2,
Small Grains,Cereals,,,,,2,
Sorghum,Cereals,"D,F,S",,"F,S",,2,
Sorghum Grain,Cereals,,,,,2,
Speltz,Cereals,,,,None,2,
Spring Grain,Cereals,,,,,2,
Spring Wheat,Cereals,,,"F,S",,2,
Sweet Corn,Cereals,,,,,2,
Triticale,Cereals,,,"F,S",,2,
Wheat,Cereals,"F,S",,,,2,
Wheat Fall,Cereals,,,,,2,
Wheat Fallow,Cereals,,,,,2,
Wheat Spring,Cereals,,,,,2,
Winter Wheat,Cereals,,,"F,S",,2,
BARLEY,Cereals,,,,,2,
CORN,Cereals,,,,,2,
CORN_GRAIN,Cereals,,,,,2,
CORN_SILAGE,Cereals,,,,,2,
SMALL_GRAINS,Cereals,,,,,2,
SORGHUM_GRAIN,Cereals,,,,,2,
SPRING_GRAIN,Cereals,,,,,2,
SWEET_CORN,Cereals,,,,,2,
WHEAT,Cereals,,,,,2,
WHEAT_FALL,Cereals,,,,,2,
WHEAT_SPRING,Cereals,,,,,2,
Cover Crop,Cover Crop,"F,S",,,,3,
Field Crops,Cover Crop,,,,,3,
Green Manure,Cover Crop,"D,S","D,F,S",,,3,
Legume Cover,Cover Crop,,,,,3,
Other Field Crops,Cover Crop,,,,,3,
Reclamation Seed,Cover Crop,,,,,3,
COVER_CROP,Cover Crop,,,,,3,
Cotton,Fibres,"D,F,S",,,,4,
Apple,Fruits,,,,,5,
Apples,Fruits,F,,"D,F,S",,5,
Apricot,Fruits,,,,,5,
Apricots,Fruits,,,"D,F,S",,5,
Berries,Fruits,,,"D,F,S",,5,
Berry,Fruits,,"D,S",,,5,
"Berry, Unknown",Fruits,,,,,5,
Blueberries,Fruits,,,,,5,
Blueberry,Fruits,,,,,5,
Caneberry,Fruits,,,,,5,
Cantaloupe,Fruits,,,,,5,
Cantaloupes,Fruits,,,,,5,
Cherries,Fruits,,,"D,F,S",None,5,
Cherry,Fruits,,,,,5,
Citrus,Fruits,"D,F",,,,5,
Citrus Groves,Fruits,,,,,5,
Cranberry,Fruits,,,,,5,
Currant,Fruits,,,,,5,
Dates,Fruits,"D,F",,,,5,
Fruit,Fruits,,,,,5,
Fruit Trees,Fruits,"D,F,S",,,,5,
"Grape, Juice",Fruits,,,,,5,
"Grape, Table",Fruits,,,,,5,
"Grape, Unknown",Fruits,,,,,5,
"Grape, Wine",Fruits,,,,,5,
Grapes,Fruits,D,,"D,F,S",,5,
Kiwi,Fruits,,,,,5,
Melon,Fruits,D,S,"D,F,S",,5,
"Melon, Unknown",Fruits,,,,,5,
Nectarine/Peach,Fruits,,,,,5,
Non-citrus fruits and nuts,Fruits,,,,,5,
Oranges,Fruits,F,,,,5,
Peaches,Fruits,,,"D,F,S",,5,
Pear,Fruits,,,,,5,
Pomegranate,Fruits,D,,,,5,
Strawberry,Fruits,,,,,5,
Watermelon,Fruits,,,,,5,
GRAPES,Fruits,,,,,5,
Barley Hay,Grass,,,,,6,
Bermuda Grass,Grass,S,,,,6,
Bluegrass,Grass,,,,,6,
Bromegrass Seed,Grass,,,,,6,
Clover Hay,Grass,,,,,6,
Clover/Grass Hay,Grass,,,,,6,
Fescue Seed,Grass,,,,,6,
Grass,Grass,"D,F,S",,,,6,
Grass Hay,Grass,,,"F,S",,6,
Grass Pasture,Grass,,,,,6,
Grass/Hay/Pasture,Grass,,,,,6,
Grassland/Pasture,Grass,,,,,6,
Hay,Grass,,,,,6,
Hay/Silage,Grass,,"D,F,S",,,6,
